emoji,name,description
😀,Grinning face,"Faces with open mouths, more often used to express close to laughter. It all depends on which one you like best, such emoticons are rarely used for a snide smile."
😃,Grinning face with big eyes,A smiley face emoticon represents a happy smiling face
😄,Grinning face with big smiling eyes,Smiling eyes here mean real happiness. It is a smiling face that is excited or genuinely happy about something. So you can use this smiley face to show your sincere excitement or happiness or to express your laughter.
😁,Grinning face with smiling eyes,"A happy face is a face with a wide smile, full cheeks, and round eyes. You can send this to anyone when you want to show your happiness."
😆,Grinning squinting face,A cheerful laughing face with open mouth and closed eyes. Use this smiley face to show your cheerful state. In some cases you can use it as a subtle way to show sarcasm.
😅,Grinning sweating face,"This sweating emoji with its mouth wide open and a drop of sweat on its forehead means embarrassment or awkwardness or, a smile to avoid embarrassment. Some people also use it when they are unsure about something."
🤣,ROFL (Rolling On the Floor Laughing),"Tilted laughing smiley face with tears in his eyes is used in the funniest situations, where you just roll on the floor, laughing out loud."
😂,LOL (Laughing Out Loud),This face with tears of joy is often used to express extreme amusement or laughter. Almost the same as the above emoji.
🙂,Slightly Smiling Face,"It’s a very delicately smiling emoji, with a slight smile that indicates either politeness or that you’re not too interested."
🙃,Upside-down face,"This emoticon is usually used as a symbol of stupidity and goofiness. When someone says silly things in a chat, you can use this emoticon."
😉,Winking face,"By adding this smiley face to your message, you show your interlocutor that the text is not serious and should not be taken seriously. This smiley face is often used when flirting."
😊,Smiling face with smiling eyes,It’s a real happy smile on your face that can be used as a simple sincere expression of emotion.
😇,Smiling face with halo,This smiley face is best used to express cute and innocent behavior. You can use it with humor to portray bad intentions or sarcastic behavior.
🥰,Smiling face with hearts,"This cute emoji means affection, adoration, and sometimes gratitude. Usually when something is sent to you or a question is answered, you can safely throw this emoji saying thank you very much."
😍,Heart-eyes smiling face,This smiling face with heart eyes is used to show your love and gratitude. It can also be used as a romantic smiley face when someone makes you feel loved and special.
🤩,Star-struck face,The wide smile and stars in your eyes indicate admiration. You can use this emoji when you feel in awe when you see something or someone really beautiful or amazing.
😘,Blowing a kiss face,"To express your love, gratitude, admiration, attraction, and support, you can send this emoticon."
😗,Kissing face,"These emoticons can be used both as a thank you and as a more formal, understated kiss."
😊,Shy smiling face,"A cute smile is probably the most popular emoticon that just means positive, but can also be used in critical sentences as a snide smile or when you sarcasm."
😚,Kissing face with closed eyes,"Despite the name, which clearly encodes a kiss, this emoji many people associate with a whistling person, especially if there is a note symbol next to it."
😙,Kissing face with smiling eyes,Romance is a must. These emoticons can also be used for the same thank you
